T	q_vib_full	q_vib_frag	q_rot_vib_full	q_rot_vib_frag
228.0	0.012477420114981382	0.007775333004135896	0.04610196066374021	0.07192212057210479
229.0	0.01229667163393429	0.007632657913585436	0.04539612540842699	0.07109940683504272
230.0	0.012119093609657416	0.007492946266247187	0.044702896748685494	0.07028879108743617
231.0	0.011944620628392856	0.0073561290972290715	0.04402201410368987	0.06949005353594588
232.0	0.011773188820165845	0.007222139214637977	0.04335322302393346	0.06870297911969013
233.0	0.011604735818185672	0.007090911149995897	0.04269627502993686	0.06792735739389626
234.0	0.011439200719407431	0.006962381110141328	0.042050927455627975	0.06716298241672217
235.0	0.01127652404622071	0.006836486930569043	0.04141694329624697	0.06640965263915881
236.0	0.011116647709229224	0.006713168030162874	0.04079409106063366	0.06566717079791626
237.0	0.010959514971090536	0.006592365367277599	0.04018214462775993	0.06493534381120933
238.0	0.01080507041138136	0.006474021397127478	0.03958088310737434	0.06421398267735623
239.0	0.010653259892459062	0.006358080030440402	0.038990090704630685	0.06350290237610659
240.0	0.010504030526288956	0.006244486593337894	0.03840955658857664	0.06280192177262439
241.0	0.010357330642207422	0.0061331877884025585	0.03783907476438201	0.06211086352404089
242.0	0.010213109755593757	0.006024131656895812	0.03727844394919185	0.061429553988508113
243.0	0.0100713185374225	0.005917267542089801	0.036727467451491275	0.060757823136678324
244.0	0.009931908784670153	0.005812546053678967	0.03618595305387479	0.06009550446553799
245.0	0.009794833391550892	0.0057099190332373494	0.035653712899115106	0.0594424349145299
246.0	0.009660046321555761	0.005609339520689122	0.03513056337942975	0.058798454783899376
247.0	0.009527502580272197	0.005510761721760992	0.034616325028848725	0.058163407655193275
248.0	0.009397158188959212	0.005414140976385722	0.034110822418588045	0.05753714031385665
249.0	0.00926897015885735	0.005319433728027552	0.033613884055337453	0.05691950267386525
250.0	0.00914289646621026	0.005226597493900731	0.03312534228237439	0.05631034770433435
251.0	0.009018896027977211	0.005135590836053709	0.03264503318341832	0.05570953135804757
252.0	0.00889692867821596	0.0050463733332921845	0.032172796489142855	0.055116912501850655
253.0	0.008776955145115976	0.0049589055539152	0.03170847548626553	0.054532352848860814
254.0	0.008658937028663381	0.004873149029239153	0.03125191692913753	0.05395571689243242
255.0	0.008542836778917552	0.004789066227885656	0.030802970953758908	0.05338687184183706
256.0	0.008428617674882994	0.004706620530809691	0.03036149099414646	0.05282568755960633
257.0	0.008316243803957879	0.004625776207045407	0.029927333700984056	0.052272036500487985
258.0	0.008205680041942517	0.004546498390147643	0.029500358862487648	0.05172579365197597
259.0	0.008096892033591463	0.004468753055307836	0.029080429327419104	0.051186836476361026
260.0	0.00798984617369322	0.004392506997123896	0.0286674109301856	0.0506550448542709
261.0	0.007884509588662297	0.004317727808003965	0.028261172417962107	0.05013030102964836
262.0	0.007780850118628074	0.004244383857184938	0.027861585379778463	0.049612489556130825
263.0	0.00767883630000695	0.004172444270346998	0.027468524177512617	0.049101497244794866
264.0	0.007578437348542628	0.0041018789098061495	0.027081865878734176	0.04859721311322154
265.0	0.007479623142802061	0.004032658355267253	0.02670149019134426	0.048099528335855596
266.0	0.00738236420811258	0.003964753885120659	0.026327279399959432	0.04760833619560768
267.0	0.00728663170092865	0.003898137458265999	0.025959118303988577	0.04712353203668284
268.0	0.007192397393615249	0.0038327816964473507	0.025596894157353837	0.046645013218590235
269.0	0.007099633659635541	0.0037686598670843177	0.025240496609807744	0.0461726790712998
270.0	0.0070083134591319846	0.003705745866584257	0.02488981764980092	0.04570643085152578
271.0	0.006918410324888989	0.003644014204121123	0.024544751548854667	0.04524617170009436
272.0	0.0068298983486663216	0.003583439985867109	0.024205194807396694	0.04479180660037362
273.0	0.006742752167892811	0.003523998899663489	0.02387104610201603	0.044343242337730945
274.0	0.006656946952709974	0.0034656672001175844	0.02354220623409867	0.043900387459996755
275.0	0.006572458393355088	0.0034084216941132435	0.02321857807980243	0.04346315223889919
276.0	0.0064892626878752645	0.0033522397267224803	0.022900066541334703	0.04303144863245095
277.0	0.00640733653016166	0.003297099167506451	0.022586578499494848	0.042605190248258325
278.0	0.006326657098296058	0.0032429783971942086	0.022278022767445654	0.04218429230772711
279.0	0.006247202043199878	0.0031898562947281074	0.021974310045679686	0.04176867161114484
280.0	0.006168949477577637	0.0031377122246650535	0.021675352878145975	0.041358246503611515
281.0	0.006091877965147163	0.003086526024923066	0.021381065609504837	0.04095293684179899
282.0	0.0060159665101468	0.003036277994863151	0.021091364343479288	0.04055266396151737
283.0	0.005941194547113756	0.002986948883696482	0.02080616690227182	0.040157350646063045
284.0	0.005867541930924612	0.002938519879207511	0.020525392787017357	0.0397669210953322
285.0	0.005794988927091416	0.002890972596783696	0.020248963139242928	0.03938130089567594
286.0	0.005723516202305753	0.002844289068742945	0.019976800703306465	0.03900041699047906
287.0	0.0056531048152244166	0.002798451733950109	0.019708829789787583	0.038624197651444155
288.0	0.005583736207489383	0.002753443427714092	0.01944497623980342	0.03825257245056025
289.0	0.005515392194976095	0.0027092473719574936	0.019185167390224706	0.03788547223273851
290.0	0.005448054959263258	0.0026658471656508674	0.01892933203976691	0.037522829089099166
291.0	0.005381707039318666	0.002623226775503922	0.018677400415932095	0.03716457633089201
292.0	0.0053163313233943665	0.002581370526906327	0.01842930414277896	0.03681064846403155
293.0	0.005251911041125951	0.0025402630951108646	0.01818497620949753	0.036460981164231736
294.0	0.0051884297558302764	0.0024998894966520133	0.017944350939767005	0.03611551125273165
295.0	0.005125871356995786	0.002460235080993178	0.017707363961875555	0.035774176672581065
296.0	0.005064220052960862	0.002421285522396061	0.017473952179580705	0.03543691646548979
297.0	0.00500346036377441	0.002383026812005771	0.017244053743691055	0.03510367074921218
298.0	0.004943577114234094	0.0023454452501455803	0.01701760802434933	0.03477438069545921
299.0	0.004884555427097381	0.0023085274388153173	0.016794555583997627	0.03444898850832518
